id,name,ig_followers,ig_handle,category,subcategory,location
39765,Kalpesh Ganesh Patil,13577,kalpesh_patil_photography,Photography / Videography,Street / People Photography,Alibag
17184,Bhanwi Pandey,11668,bhanwipandey,Lifestyle & Living,Product Reviews / Shopping,Agra
1904,Avyukt,11510,avyuktguptaofficial,Lifestyle & Living,Product Reviews / Shopping,Agra
44849,Priyanka Rawat,11302,priyankabeautyblush,Lifestyle & Living,Personal Vlogs,Agra
42716,Stuti Elliza,11228,stutielliza,Entertainment,Singing & Music Videos,Agra
25974,Hardik Shashi Bhushan Shivhare,10902,hardik_shiv_shivhare,Entertainment,Fun-Content,Agra
17325,Tanya Agarwal,10257,tanyaag07,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
45136,Divya Gupta,10172,theamivyafamily,"Family, Kids & Pets",Family / Couple Vlogs ,Agra
18265,Rishabh,9961,heart_says_justeat_it,Food ,Food Reviews,Agra
17223,Somya Gupta,8228,evagupta3,Beauty,Skin-Care,Agra
39668,Paarya,999,crazy_paarya,"Family, Kids & Pets",Kids Learning & Crafts,Agra
50415,Priyanka Patel,253720,priyankapatelreal,Entertainment,Fun-Content,Ahmedabad
37498,Vishwaa Joshi,250394,the.other.vishwaa,Entertainment,Fun-Content,Ahmedabad
6583,Shruti Pathak,244339,shrutipathak27,Arts,Music & Singing,Ahmedabad
38633,Pratik Dave,232134,foodie.pratik_official,Food ,Food Reviews,Ahmedabad
35946,Naisargi Musale,227435,naisuonly,Entertainment,Fun-Content,Ahmedabad
25335,Kamal,226676,drivewithkamal,Lifestyle & Living,Personal Vlogs,Ahmedabad
41600,Shivani Gupta,219945,___shivanigupta__,Lifestyle & Living,Personal Vlogs,Ahmedabad
16089,Ashish Shukla,211463,wayoflife_nutritionist,Health,Nutrition & Diet,Ahmedabad
21985,Geetarsh Kaur,206020,namak_aur_kalimirch,Lifestyle & Living,Personal Vlogs,Ahmedabad
38628,Urmil Patel,203266,foodie_bhuro,Food ,Food Reviews,Ahmedabad
21861,Chavi Khattar,195498,chavikhattar19,Lifestyle & Living,Personal Vlogs,Ahmedabad
33184,Utkarsh Khatri,195357,_utkarsh_khatri,Fashion,Style & Grooming,Ahmedabad
2425,Aanchal Shah,194818,aanchalshah21,Arts,"Acting, Pro (TV / Series)",Ahmedabad
41150,Viraj Bhavsar,194175,rj__virajj,Entertainment,Info-tainment,Ahmedabad
19608,Yukta,193966,_yukta_2,Entertainment,Entertaining Dance Videos,Ahmedabad
13777,Heena Somani,191043,heenasomani,Fashion,Style & Grooming,Ahmedabad
32887,Our Ahmedabad,188373,apnu_amdavad,Community Pages,City-focused Content,Ahmedabad
2414,Ravina Tekwani,187884,raveena_tekwani,Lifestyle & Living,Personal Vlogs,Ahmedabad
23177,Heer Makwana,182810,its_me_heeeer,Entertainment,Singing & Music Videos,Ahmedabad
4158,Jitendra Popat,179664,ahmedabad_food_trend,Food ,Food Reviews,Ahmedabad
41049,Shineb,1453500,beautykadose,Beauty,Skin-Care,Aligarh
6515,Pooja Banerjii,1179399,poojabanerjeee,Arts,"Acting, Pro (Movies)",Aligarh
50621,Rahul Upadhyay,257788,the_taklaboy,,,Aligarh
38311,Mohd Aarish,198160,arish_the_star,Tech,Photo/Video Editing & AI: Tips & Tricks,Aligarh
36912,𝗦𝗛𝗔𝗡𝗧𝗡𝗨 𝗕𝗛𝗔𝗥𝗗𝗪𝗔𝗝,57375,shantnu_bhardwaj_vlogs,Lifestyle & Living,Personal Vlogs,Aligarh
44740,Ayan Ahmad,30176,ayanahmad99_,Lifestyle & Living,Personal Vlogs,Aligarh
5557,Surendra Varshney,27351,diljeet_varshney,Entertainment,Fun-Content,Aligarh
40776,Chadni Official,19457,chadni_kashyap_999,Entertainment,Singing & Music Videos,Aligarh
16750,Zubia Professional Henna Artist,17430,henna_by_zubia__,Beauty,Makeup & Cosmetics,Aligarh
46865,Samreen Shah,12960,makeover_by_samreen,Beauty,Makeup & Cosmetics,Aligarh
42417,Saltyashicha,12276,saltyshicha,Entertainment,Fun-Content,Aligarh
30210,Blogger,9945,foodie_moodie.25,Lifestyle & Living,Personal Vlogs,Aligarh
42181,Crossfit Brawn,158490,_crossfit_brawn_,Fitness,Training & Fitness,Almora
44981,Bhawesh Joshi,141328,technobhawesh,Tech,Gadget Reviews & Unboxing,Almora
42366,Anushka,22927,mansi._____.07,Lifestyle & Living,Personal Vlogs,Almora
